transaction_ref,amount,merchant_category,transaction_type,location,hour,day_of_week,is_weekend,transaction_date,is_fraud
TXN0000630,4248.47,online,debit,Islamabad,18,5,1,2024-01-14 03:00:00,0
TXN0000631,1191.69,online,debit,Karachi,8,2,0,2024-01-14 03:30:00,0
TXN0000632,8767.29,atm,debit,Karachi,17,0,0,2024-01-14 04:00:00,0
TXN0000633,5950.01,online,withdrawal,Multan,9,2,0,2024-01-14 04:30:00,0
TXN0000634,8159.33,restaurant,debit,Islamabad,13,2,1,2024-01-14 05:00:00,0
TXN0000635,3299.9,grocery,debit,Islamabad,10,5,0,2024-01-14 05:30:00,0
TXN0000636,18989.78,atm,debit,Karachi,17,3,1,2024-01-14 06:00:00,0
TXN0000637,7081.63,grocery,transfer,Peshawar,12,6,0,2024-01-14 06:30:00,0
TXN0000638,714.17,atm,withdrawal,Peshawar,8,4,0,2024-01-14 07:00:00,0
TXN0000639,4779.85,restaurant,debit,Islamabad,15,6,1,2024-01-14 07:30:00,0
TXN0000640,11296.38,electronics,credit,Karachi,20,2,1,2024-01-14 08:00:00,0
TXN0000641,12644.26,online,debit,Karachi,11,1,1,2024-01-14 08:30:00,0
TXN0000642,5459.19,online,credit,Lahore,16,3,1,2024-01-14 09:00:00,0
TXN0000643,18011.15,grocery,debit,Karachi,11,3,0,2024-01-14 09:30:00,0
TXN0000644,2492.18,travel,credit,Multan,21,2,0,2024-01-14 10:00:00,0
TXN0000645,4229.18,electronics,transfer,Peshawar,9,5,1,2024-01-14 10:30:00,0
TXN0000646,18309.21,restaurant,credit,Lahore,10,1,0,2024-01-14 11:00:00,0
TXN0000647,18126.69,restaurant,debit,Multan,12,2,0,2024-01-14 11:30:00,0
TXN0000648,9259.58,atm,debit,Peshawar,19,1,0,2024-01-14 12:00:00,0
TXN0000649,15670.86,online,credit,Multan,17,3,1,2024-01-14 12:30:00,0
TXN0000650,743.71,atm,credit,Quetta,20,1,1,2024-01-14 13:00:00,0
TXN0000651,16019.55,electronics,debit,Islamabad,20,6,1,2024-01-14 13:30:00,0
TXN0000652,3092.6,travel,transfer,Quetta,21,2,0,2024-01-14 14:00:00,0
TXN0000653,1571.35,online,credit,Islamabad,13,0,1,2024-01-14 14:30:00,0
TXN0000654,2188.86,restaurant,debit,Peshawar,14,0,1,2024-01-14 15:00:00,0
TXN0000655,4329.85,atm,debit,Peshawar,11,1,0,2024-01-14 15:30:00,0
TXN0000656,2314.18,online,withdrawal,Quetta,14,5,1,2024-01-14 16:00:00,0
TXN0000657,3091.98,atm,debit,Multan,17,2,1,2024-01-14 16:30:00,0
TXN0000658,1160.01,electronics,withdrawal,Islamabad,10,4,1,2024-01-14 17:00:00,0
TXN0000659,2809.82,atm,credit,Islamabad,14,0,0,2024-01-14 17:30:00,0
TXN0000660,6794.36,travel,debit,Lahore,11,3,1,2024-01-14 18:00:00,0
TXN0000661,425956.73,electronics,transfer,Karachi,1,6,0,2024-01-14 18:30:00,1
TXN0000662,3405.98,online,debit,Multan,20,2,0,2024-01-14 19:00:00,0
TXN0000663,10977.62,online,debit,Multan,15,2,0,2024-01-14 19:30:00,0
TXN0000664,17917.63,travel,debit,Lahore,16,6,0,2024-01-14 20:00:00,0
TXN0000665,11310.61,online,transfer,Peshawar,14,0,0,2024-01-14 20:30:00,0
TXN0000666,3227.75,online,credit,Quetta,15,6,0,2024-01-14 21:00:00,0
TXN0000667,10914.45,atm,debit,Multan,15,6,1,2024-01-14 21:30:00,0
TXN0000668,1318.81,restaurant,debit,Islamabad,9,4,1,2024-01-14 22:00:00,0
TXN0000669,1117.02,electronics,credit,Lahore,16,6,0,2024-01-14 22:30:00,0
TXN0000670,3392.62,healthcare,debit,Quetta,13,3,0,2024-01-14 23:00:00,0
TXN0000671,13189.69,online,debit,Quetta,18,4,1,2024-01-14 23:30:00,0
TXN0000672,2262.6,atm,debit,Multan,11,3,1,2024-01-15 00:00:00,0
TXN0000673,522.74,online,credit,Karachi,12,0,1,2024-01-15 00:30:00,0
TXN0000674,1129.83,grocery,debit,Islamabad,17,2,0,2024-01-15 01:00:00,0
TXN0000675,260787.31,grocery,credit,Quetta,0,3,0,2024-01-15 01:30:00,1
TXN0000676,8036.24,atm,transfer,Islamabad,14,2,1,2024-01-15 02:00:00,0
TXN0000677,2335.68,online,withdrawal,Multan,21,1,0,2024-01-15 02:30:00,0
TXN0000678,651084.33,atm,transfer,Lahore,0,1,0,2024-01-15 03:00:00,1
TXN0000679,5999.09,travel,credit,Quetta,14,0,0,2024-01-15 03:30:00,0
TXN0000680,8523.8,electronics,transfer,Multan,16,0,0,2024-01-15 04:00:00,0
TXN0000681,2124.1,electronics,withdrawal,Quetta,11,5,1,2024-01-15 04:30:00,0
TXN0000682,15984.54,atm,credit,Lahore,17,0,0,2024-01-15 05:00:00,0
TXN0000683,2961.19,electronics,credit,Islamabad,21,1,0,2024-01-15 05:30:00,0
TXN0000684,9476.8,atm,debit,Islamabad,17,3,0,2024-01-15 06:00:00,0
TXN0000685,130.05,electronics,transfer,Quetta,11,6,0,2024-01-15 06:30:00,0
TXN0000686,3730.1,atm,debit,Multan,13,6,1,2024-01-15 07:00:00,0
TXN0000687,3467.33,grocery,debit,Lahore,15,6,0,2024-01-15 07:30:00,0
TXN0000688,6273.06,grocery,credit,Peshawar,21,4,0,2024-01-15 08:00:00,0
TXN0000689,604.14,online,transfer,Islamabad,16,6,1,2024-01-15 08:30:00,0
TXN0000690,12490.19,online,credit,Peshawar,8,0,0,2024-01-15 09:00:00,0
TXN0000691,1964.96,grocery,transfer,Quetta,8,6,0,2024-01-15 09:30:00,0
TXN0000692,9041.76,restaurant,transfer,Peshawar,20,4,0,2024-01-15 10:00:00,0
TXN0000693,13005.03,electronics,credit,Multan,15,4,0,2024-01-15 10:30:00,0
TXN0000694,6602.04,travel,credit,Multan,18,1,1,2024-01-15 11:00:00,0
TXN0000695,10803.81,grocery,credit,Peshawar,14,5,1,2024-01-15 11:30:00,0
TXN0000696,8674.37,electronics,withdrawal,Multan,16,3,1,2024-01-15 12:00:00,0
TXN0000697,3514.61,travel,transfer,Islamabad,18,1,0,2024-01-15 12:30:00,0
TXN0000698,13237.93,electronics,withdrawal,Quetta,10,0,0,2024-01-15 13:00:00,0
TXN0000699,2793.07,atm,debit,Peshawar,17,1,1,2024-01-15 13:30:00,0
TXN0000700,6774.36,electronics,debit,Islamabad,19,1,1,2024-01-15 14:00:00,0
TXN0000701,10944.42,atm,debit,Peshawar,12,1,0,2024-01-15 14:30:00,0
TXN0000702,3810.83,grocery,credit,Islamabad,10,0,0,2024-01-15 15:00:00,0
TXN0000703,2885.09,electronics,transfer,Multan,12,0,0,2024-01-15 15:30:00,0
TXN0000704,4919.81,grocery,debit,Multan,17,1,0,2024-01-15 16:00:00,0
TXN0000705,713641.34,atm,debit,Quetta,2,1,0,2024-01-15 16:30:00,1
TXN0000706,21265.14,online,debit,Multan,21,4,0,2024-01-15 17:00:00,0
TXN0000707,6301.13,atm,credit,Lahore,18,3,0,2024-01-15 17:30:00,0
TXN0000708,8665.05,travel,debit,Islamabad,11,4,0,2024-01-15 18:00:00,0
TXN0000709,18686.95,atm,debit,Islamabad,13,5,0,2024-01-15 18:30:00,0
TXN0000710,829.98,online,transfer,Peshawar,9,3,0,2024-01-15 19:00:00,0
TXN0000711,2112.54,grocery,debit,Quetta,20,5,1,2024-01-15 19:30:00,0
TXN0000712,9872.71,electronics,credit,Karachi,14,3,0,2024-01-15 20:00:00,0
TXN0000713,13886.56,travel,credit,Multan,15,1,0,2024-01-15 20:30:00,0
TXN0000714,15560.91,online,transfer,Karachi,8,4,0,2024-01-15 21:00:00,0
TXN0000715,4290.61,grocery,debit,Lahore,20,3,1,2024-01-15 21:30:00,0
TXN0000716,748.68,atm,withdrawal,Quetta,11,5,0,2024-01-15 22:00:00,0
TXN0000717,109204.55,online,credit,Islamabad,23,3,1,2024-01-15 22:30:00,1
TXN0000718,2098.55,online,debit,Karachi,11,0,0,2024-01-15 23:00:00,0
TXN0000719,2753.42,electronics,debit,Lahore,20,3,1,2024-01-15 23:30:00,0
TXN0000720,11836.67,online,debit,Quetta,12,6,1,2024-01-16 00:00:00,0
TXN0000721,628.25,grocery,transfer,Lahore,21,1,0,2024-01-16 00:30:00,0
TXN0000722,14062.63,grocery,credit,Multan,19,2,1,2024-01-16 01:00:00,0
TXN0000723,4464.3,atm,debit,Karachi,19,0,1,2024-01-16 01:30:00,0
TXN0000724,7251.99,electronics,debit,Peshawar,11,2,0,2024-01-16 02:00:00,0
TXN0000725,751.43,electronics,transfer,Peshawar,16,1,0,2024-01-16 02:30:00,0
TXN0000726,3292.18,grocery,transfer,Quetta,14,6,0,2024-01-16 03:00:00,0
TXN0000727,751.86,travel,credit,Lahore,20,2,0,2024-01-16 03:30:00,0
TXN0000728,26065.87,grocery,credit,Islamabad,9,3,0,2024-01-16 04:00:00,0
TXN0000729,13171.37,electronics,transfer,Karachi,8,2,0,2024-01-16 04:30:00,0
TXN0000730,4924.05,online,transfer,Peshawar,16,4,1,2024-01-16 05:00:00,0
TXN0000731,2024.73,travel,credit,Peshawar,8,1,1,2024-01-16 05:30:00,0
TXN0000732,21679.03,healthcare,debit,Lahore,13,4,0,2024-01-16 06:00:00,0
TXN0000733,3380.03,electronics,transfer,Peshawar,9,2,0,2024-01-16 06:30:00,0
TXN0000734,1404.21,electronics,debit,Lahore,11,6,0,2024-01-16 07:00:00,0
TXN0000735,6625.59,online,debit,Karachi,13,4,0,2024-01-16 07:30:00,0
TXN0000736,23027.03,grocery,transfer,Lahore,12,0,1,2024-01-16 08:00:00,0
TXN0000737,30.7,restaurant,credit,Peshawar,18,2,1,2024-01-16 08:30:00,0
TXN0000738,2175.78,online,transfer,Lahore,13,5,0,2024-01-16 09:00:00,0
TXN0000739,22302.94,grocery,credit,Peshawar,10,4,1,2024-01-16 09:30:00,0
TXN0000740,1501.11,atm,withdrawal,Multan,12,3,1,2024-01-16 10:00:00,0
TXN0000741,961.48,grocery,debit,Quetta,9,2,0,2024-01-16 10:30:00,0
TXN0000742,6755.24,healthcare,transfer,Peshawar,14,6,0,2024-01-16 11:00:00,0
TXN0000743,15834.96,restaurant,debit,Peshawar,10,5,1,2024-01-16 11:30:00,0
TXN0000744,5187.07,online,debit,Peshawar,8,6,0,2024-01-16 12:00:00,0
TXN0000745,41718.07,grocery,debit,Quetta,21,0,0,2024-01-16 12:30:00,0
TXN0000746,9094.79,grocery,transfer,Multan,15,3,0,2024-01-16 13:00:00,0
TXN0000747,615.7,electronics,debit,Islamabad,15,2,1,2024-01-16 13:30:00,0
TXN0000748,39505.18,grocery,credit,Peshawar,10,6,1,2024-01-16 14:00:00,0
TXN0000749,4192.56,travel,debit,Islamabad,20,3,1,2024-01-16 14:30:00,0
TXN0000750,2710.71,restaurant,debit,Karachi,14,2,1,2024-01-16 15:00:00,0
TXN0000751,6529.38,travel,credit,Multan,16,2,0,2024-01-16 15:30:00,0
TXN0000752,2902.78,online,withdrawal,Lahore,15,1,0,2024-01-16 16:00:00,0
TXN0000753,723.4,online,debit,Islamabad,10,4,1,2024-01-16 16:30:00,0
TXN0000754,11.43,restaurant,credit,Multan,20,2,1,2024-01-16 17:00:00,0
TXN0000755,4776.64,grocery,withdrawal,Karachi,9,0,0,2024-01-16 17:30:00,0
TXN0000756,14505.34,travel,transfer,Multan,20,5,1,2024-01-16 18:00:00,0
TXN0000757,6794.95,atm,transfer,Lahore,17,4,1,2024-01-16 18:30:00,0
TXN0000758,57120.52,atm,debit,Peshawar,14,1,1,2024-01-16 19:00:00,0
TXN0000759,2704.47,restaurant,credit,Peshawar,14,4,1,2024-01-16 19:30:00,0
TXN0000760,2633.09,atm,debit,Peshawar,16,4,1,2024-01-16 20:00:00,0
TXN0000761,1392.44,grocery,credit,Quetta,12,2,1,2024-01-16 20:30:00,0
TXN0000762,1433.62,online,transfer,Quetta,11,0,1,2024-01-16 21:00:00,0
TXN0000763,2685.87,grocery,credit,Quetta,15,2,0,2024-01-16 21:30:00,0
TXN0000764,12594.11,online,debit,Quetta,21,6,0,2024-01-16 22:00:00,0
TXN0000765,18895.01,online,withdrawal,Karachi,11,0,0,2024-01-16 22:30:00,0
TXN0000766,29538.98,online,credit,Multan,11,6,1,2024-01-16 23:00:00,0
TXN0000767,2114.74,restaurant,withdrawal,Karachi,19,0,0,2024-01-16 23:30:00,0
TXN0000768,17049.08,online,credit,Peshawar,21,3,0,2024-01-17 00:00:00,0
TXN0000769,3183.01,electronics,debit,Lahore,19,2,0,2024-01-17 00:30:00,0
TXN0000770,957.84,grocery,credit,Quetta,9,6,0,2024-01-17 01:00:00,0
TXN0000771,16323.3,restaurant,credit,Multan,20,1,1,2024-01-17 01:30:00,0
TXN0000772,8087.13,grocery,debit,Lahore,8,5,0,2024-01-17 02:00:00,0
TXN0000773,1440.01,grocery,credit,Karachi,11,4,0,2024-01-17 02:30:00,0
TXN0000774,4494.58,grocery,credit,Quetta,14,3,0,2024-01-17 03:00:00,0
TXN0000775,2709.08,online,credit,Karachi,19,6,0,2024-01-17 03:30:00,0
TXN0000776,10678.56,grocery,debit,Karachi,16,1,1,2024-01-17 04:00:00,0
TXN0000777,4832.54,restaurant,credit,Islamabad,16,5,1,2024-01-17 04:30:00,0
TXN0000778,36285.11,healthcare,debit,Multan,19,5,0,2024-01-17 05:00:00,0
TXN0000779,450.4,healthcare,credit,Karachi,17,2,0,2024-01-17 05:30:00,0
TXN0000780,3508.23,grocery,debit,Peshawar,8,0,0,2024-01-17 06:00:00,0
TXN0000781,5260.7,restaurant,debit,Karachi,12,6,0,2024-01-17 06:30:00,0
TXN0000782,5595.47,healthcare,debit,Quetta,14,2,1,2024-01-17 07:00:00,0
TXN0000783,3037.63,restaurant,debit,Peshawar,20,5,1,2024-01-17 07:30:00,0
TXN0000784,10452.19,online,credit,Karachi,14,2,0,2024-01-17 08:00:00,0
TXN0000785,16619.36,atm,withdrawal,Peshawar,17,3,1,2024-01-17 08:30:00,0
TXN0000786,22338.32,grocery,credit,Karachi,13,6,1,2024-01-17 09:00:00,0
TXN0000787,13081.88,restaurant,credit,Multan,18,1,0,2024-01-17 09:30:00,0
TXN0000788,15207.96,grocery,withdrawal,Peshawar,17,5,0,2024-01-17 10:00:00,0
TXN0000789,6397.76,electronics,withdrawal,Lahore,11,6,1,2024-01-17 10:30:00,0
TXN0000790,13984.46,healthcare,transfer,Islamabad,10,3,1,2024-01-17 11:00:00,0
TXN0000791,2893.54,travel,debit,Peshawar,19,1,1,2024-01-17 11:30:00,0
TXN0000792,4066.35,grocery,credit,Quetta,20,3,0,2024-01-17 12:00:00,0
TXN0000793,3049.06,healthcare,transfer,Islamabad,16,4,0,2024-01-17 12:30:00,0
TXN0000794,5039.69,healthcare,transfer,Islamabad,19,0,0,2024-01-17 13:00:00,0
TXN0000795,2690.27,grocery,credit,Karachi,20,0,0,2024-01-17 13:30:00,0
TXN0000796,26079.97,restaurant,debit,Peshawar,17,0,1,2024-01-17 14:00:00,0
TXN0000797,3001.56,electronics,withdrawal,Multan,11,4,0,2024-01-17 14:30:00,0
TXN0000798,825.52,electronics,credit,Islamabad,15,5,1,2024-01-17 15:00:00,0
TXN0000799,5986.19,electronics,debit,Quetta,20,5,1,2024-01-17 15:30:00,0
TXN0000800,470.35,grocery,debit,Multan,8,4,1,2024-01-17 16:00:00,0
TXN0000801,937.15,electronics,credit,Multan,14,0,1,2024-01-17 16:30:00,0
TXN0000802,1981.43,grocery,debit,Quetta,19,0,0,2024-01-17 17:00:00,0
TXN0000803,4994.2,restaurant,debit,Quetta,13,1,1,2024-01-17 17:30:00,0
TXN0000804,4542.71,online,withdrawal,Karachi,20,1,1,2024-01-17 18:00:00,0
TXN0000805,12863.19,restaurant,debit,Lahore,19,2,0,2024-01-17 18:30:00,0
TXN0000806,10760.44,atm,credit,Peshawar,8,6,1,2024-01-17 19:00:00,0
TXN0000807,4445.44,grocery,transfer,Islamabad,11,6,0,2024-01-17 19:30:00,0
TXN0000808,3248.17,restaurant,credit,Peshawar,19,6,0,2024-01-17 20:00:00,0
TXN0000809,3043.86,restaurant,debit,Multan,21,3,0,2024-01-17 20:30:00,0
TXN0000810,569008.44,electronics,credit,Islamabad,23,1,0,2024-01-17 21:00:00,1
TXN0000811,427.82,grocery,debit,Karachi,18,1,1,2024-01-17 21:30:00,0
TXN0000812,103.24,atm,debit,Peshawar,15,1,0,2024-01-17 22:00:00,0
TXN0000813,12699.24,atm,transfer,Karachi,11,1,1,2024-01-17 22:30:00,0
TXN0000814,5187.63,restaurant,withdrawal,Karachi,10,4,1,2024-01-17 23:00:00,0
TXN0000815,1122.2,grocery,transfer,Peshawar,9,2,0,2024-01-17 23:30:00,0
TXN0000816,2148.96,grocery,debit,Peshawar,11,1,1,2024-01-18 00:00:00,0
TXN0000817,21565.49,online,credit,Islamabad,18,5,1,2024-01-18 00:30:00,0
TXN0000818,15700.55,online,debit,Multan,17,3,1,2024-01-18 01:00:00,0
TXN0000819,9897.07,grocery,credit,Multan,21,6,0,2024-01-18 01:30:00,0
TXN0000820,5265.72,electronics,debit,Quetta,20,1,1,2024-01-18 02:00:00,0
TXN0000821,5877.15,online,transfer,Karachi,11,4,0,2024-01-18 02:30:00,0
TXN0000822,29589.67,atm,debit,Multan,20,5,0,2024-01-18 03:00:00,0
TXN0000823,26997.33,electronics,debit,Lahore,17,6,0,2024-01-18 03:30:00,0
TXN0000824,1939.31,travel,credit,Islamabad,12,0,1,2024-01-18 04:00:00,0
TXN0000825,13332.49,atm,debit,Islamabad,20,0,1,2024-01-18 04:30:00,0
TXN0000826,1757.62,healthcare,transfer,Quetta,14,6,1,2024-01-18 05:00:00,0
TXN0000827,1921.68,grocery,withdrawal,Quetta,16,2,0,2024-01-18 05:30:00,0
TXN0000828,9018.39,electronics,debit,Karachi,9,0,1,2024-01-18 06:00:00,0
TXN0000829,4153.57,restaurant,debit,Islamabad,12,1,0,2024-01-18 06:30:00,0
TXN0000830,21452.56,electronics,withdrawal,Islamabad,18,6,0,2024-01-18 07:00:00,0
TXN0000831,745.78,atm,transfer,Lahore,17,4,1,2024-01-18 07:30:00,0
TXN0000832,5731.75,online,withdrawal,Karachi,16,2,1,2024-01-18 08:00:00,0
TXN0000833,20059.33,electronics,debit,Karachi,19,5,0,2024-01-18 08:30:00,0
TXN0000834,18756.73,online,debit,Multan,21,1,0,2024-01-18 09:00:00,0
TXN0000835,1361.84,online,debit,Quetta,20,0,1,2024-01-18 09:30:00,0
TXN0000836,3653.7,online,debit,Multan,10,3,1,2024-01-18 10:00:00,0
TXN0000837,7722.2,grocery,transfer,Karachi,8,1,1,2024-01-18 10:30:00,0
TXN0000838,1389.07,healthcare,debit,Lahore,9,3,0,2024-01-18 11:00:00,0
TXN0000839,27541.7,travel,credit,Karachi,21,5,1,2024-01-18 11:30:00,0
TXN0000840,19697.27,online,debit,Multan,13,3,1,2024-01-18 12:00:00,0
TXN0000841,1461.29,restaurant,transfer,Peshawar,12,5,0,2024-01-18 12:30:00,0
TXN0000842,1033.18,travel,debit,Peshawar,8,2,0,2024-01-18 13:00:00,0
TXN0000843,355811.08,atm,debit,Lahore,1,4,1,2024-01-18 13:30:00,1
TXN0000844,19214.27,healthcare,credit,Quetta,18,0,1,2024-01-18 14:00:00,0
TXN0000845,1721.64,electronics,debit,Islamabad,11,0,1,2024-01-18 14:30:00,0
TXN0000846,4306.74,travel,credit,Karachi,19,1,0,2024-01-18 15:00:00,0
TXN0000847,471641.61,restaurant,credit,Multan,3,6,1,2024-01-18 15:30:00,1
TXN0000848,7310.57,grocery,transfer,Quetta,13,0,0,2024-01-18 16:00:00,0
TXN0000849,595.51,grocery,credit,Multan,13,2,1,2024-01-18 16:30:00,0
TXN0000850,2057.31,restaurant,credit,Quetta,17,0,0,2024-01-18 17:00:00,0
TXN0000851,21446.25,atm,withdrawal,Karachi,21,1,1,2024-01-18 17:30:00,0
TXN0000852,19123.47,healthcare,withdrawal,Islamabad,13,0,1,2024-01-18 18:00:00,0
TXN0000853,12160.09,grocery,transfer,Karachi,8,4,1,2024-01-18 18:30:00,0
TXN0000854,156.74,grocery,credit,Islamabad,17,5,0,2024-01-18 19:00:00,0
TXN0000855,3168.16,grocery,credit,Multan,16,3,0,2024-01-18 19:30:00,0
TXN0000856,7910.0,online,debit,Lahore,18,3,0,2024-01-18 20:00:00,0
TXN0000857,2574.77,online,withdrawal,Islamabad,14,5,0,2024-01-18 20:30:00,0
TXN0000858,19226.91,electronics,transfer,Quetta,14,3,1,2024-01-18 21:00:00,0
TXN0000859,8038.56,grocery,debit,Lahore,18,4,0,2024-01-18 21:30:00,0
TXN0000860,596.98,online,debit,Multan,14,2,0,2024-01-18 22:00:00,0
TXN0000861,19175.66,online,debit,Peshawar,9,1,1,2024-01-18 22:30:00,0
TXN0000862,25316.36,grocery,debit,Lahore,9,4,0,2024-01-18 23:00:00,0
TXN0000863,647.19,restaurant,debit,Islamabad,13,1,1,2024-01-18 23:30:00,0
TXN0000864,6080.46,grocery,credit,Lahore,14,2,0,2024-01-19 00:00:00,0
TXN0000865,2891.94,atm,debit,Multan,10,4,0,2024-01-19 00:30:00,0
TXN0000866,3991.69,restaurant,credit,Lahore,20,0,1,2024-01-19 01:00:00,0
TXN0000867,1584.21,online,debit,Multan,11,6,1,2024-01-19 01:30:00,0
TXN0000868,6903.37,grocery,debit,Peshawar,21,2,1,2024-01-19 02:00:00,0
TXN0000869,25356.75,electronics,credit,Islamabad,19,3,1,2024-01-19 02:30:00,0
TXN0000870,5594.49,restaurant,transfer,Quetta,10,4,0,2024-01-19 03:00:00,0
TXN0000871,692.44,electronics,credit,Lahore,14,2,0,2024-01-19 03:30:00,0
TXN0000872,7740.7,atm,credit,Karachi,14,2,1,2024-01-19 04:00:00,0
TXN0000873,3326.83,healthcare,credit,Quetta,11,4,1,2024-01-19 04:30:00,0
TXN0000874,15499.38,healthcare,debit,Lahore,20,3,0,2024-01-19 05:00:00,0
TXN0000875,4562.88,online,debit,Quetta,14,5,1,2024-01-19 05:30:00,0
TXN0000876,1713.86,atm,debit,Karachi,12,3,0,2024-01-19 06:00:00,0
TXN0000877,1696.7,healthcare,credit,Quetta,8,2,1,2024-01-19 06:30:00,0
TXN0000878,11714.54,electronics,transfer,Quetta,17,1,1,2024-01-19 07:00:00,0
TXN0000879,2469.48,electronics,transfer,Karachi,11,5,1,2024-01-19 07:30:00,0
TXN0000880,11661.75,grocery,debit,Karachi,14,5,1,2024-01-19 08:00:00,0
TXN0000881,1844.24,grocery,transfer,Karachi,20,2,0,2024-01-19 08:30:00,0
TXN0000882,3105.16,restaurant,debit,Peshawar,9,4,1,2024-01-19 09:00:00,0
TXN0000883,5011.19,online,debit,Multan,9,4,0,2024-01-19 09:30:00,0
TXN0000884,22945.17,restaurant,debit,Multan,8,4,1,2024-01-19 10:00:00,0
TXN0000885,21474.45,atm,credit,Karachi,9,3,1,2024-01-19 10:30:00,0
TXN0000886,1854.16,online,debit,Multan,17,0,0,2024-01-19 11:00:00,0
TXN0000887,3548.07,online,credit,Quetta,21,4,1,2024-01-19 11:30:00,0
TXN0000888,1294.5,grocery,transfer,Karachi,15,4,0,2024-01-19 12:00:00,0
TXN0000889,5706.56,restaurant,debit,Lahore,18,5,1,2024-01-19 12:30:00,0
TXN0000890,4938.12,travel,credit,Karachi,15,1,0,2024-01-19 13:00:00,0
TXN0000891,18481.73,online,debit,Karachi,15,1,1,2024-01-19 13:30:00,0
TXN0000892,21274.69,grocery,debit,Multan,8,2,1,2024-01-19 14:00:00,0
TXN0000893,3870.45,restaurant,debit,Islamabad,8,2,1,2024-01-19 14:30:00,0
TXN0000894,5414.06,restaurant,withdrawal,Quetta,19,2,1,2024-01-19 15:00:00,0
TXN0000895,18125.11,online,credit,Multan,17,4,1,2024-01-19 15:30:00,0
TXN0000896,13148.42,online,transfer,Quetta,11,1,0,2024-01-19 16:00:00,0
TXN0000897,29.3,atm,debit,Lahore,13,2,0,2024-01-19 16:30:00,0
TXN0000898,3086.0,electronics,transfer,Peshawar,15,1,0,2024-01-19 17:00:00,0
TXN0000899,4382.33,grocery,transfer,Islamabad,20,4,1,2024-01-19 17:30:00,0
TXN0000900,2087.97,online,transfer,Lahore,9,5,1,2024-01-19 18:00:00,0
TXN0000901,1780.87,grocery,withdrawal,Lahore,20,4,1,2024-01-19 18:30:00,0
TXN0000902,308.13,travel,debit,Quetta,10,2,0,2024-01-19 19:00:00,0
TXN0000903,8248.45,travel,credit,Islamabad,13,4,0,2024-01-19 19:30:00,0
TXN0000904,2436.03,electronics,credit,Quetta,17,4,0,2024-01-19 20:00:00,0
TXN0000905,430.14,grocery,credit,Peshawar,11,1,1,2024-01-19 20:30:00,0
TXN0000906,2101.1,electronics,transfer,Quetta,19,0,1,2024-01-19 21:00:00,0
TXN0000907,12952.43,electronics,debit,Karachi,9,3,0,2024-01-19 21:30:00,0
TXN0000908,15256.78,travel,debit,Quetta,14,2,0,2024-01-19 22:00:00,0
TXN0000909,5278.72,online,debit,Karachi,11,6,0,2024-01-19 22:30:00,0
TXN0000910,4303.8,healthcare,transfer,Lahore,15,0,0,2024-01-19 23:00:00,0
TXN0000911,30480.68,grocery,withdrawal,Peshawar,15,5,1,2024-01-19 23:30:00,0
TXN0000912,1790.8,restaurant,credit,Multan,14,6,0,2024-01-20 00:00:00,0
TXN0000913,1940.23,electronics,credit,Karachi,17,2,1,2024-01-20 00:30:00,0
TXN0000914,2760.99,online,credit,Peshawar,16,0,1,2024-01-20 01:00:00,0
TXN0000915,1517.26,online,credit,Quetta,11,4,1,2024-01-20 01:30:00,0
TXN0000916,3816.1,online,debit,Multan,14,2,1,2024-01-20 02:00:00,0
TXN0000917,19338.06,atm,transfer,Quetta,17,0,1,2024-01-20 02:30:00,0
TXN0000918,7643.33,electronics,credit,Lahore,17,3,1,2024-01-20 03:00:00,0
TXN0000919,4247.5,electronics,credit,Quetta,19,4,0,2024-01-20 03:30:00,0
TXN0000920,21794.75,restaurant,debit,Karachi,8,2,0,2024-01-20 04:00:00,0
TXN0000921,397.42,grocery,transfer,Lahore,11,5,0,2024-01-20 04:30:00,0
TXN0000922,1888.58,grocery,transfer,Peshawar,9,5,0,2024-01-20 05:00:00,0
TXN0000923,6675.63,grocery,credit,Lahore,16,2,1,2024-01-20 05:30:00,0
TXN0000924,7647.59,grocery,transfer,Peshawar,12,0,0,2024-01-20 06:00:00,0
TXN0000925,322.89,online,credit,Islamabad,10,2,1,2024-01-20 06:30:00,0
TXN0000926,4127.22,online,credit,Karachi,11,6,0,2024-01-20 07:00:00,0
TXN0000927,8379.26,electronics,debit,Karachi,13,4,0,2024-01-20 07:30:00,0
TXN0000928,9580.5,grocery,transfer,Peshawar,17,1,1,2024-01-20 08:00:00,0
TXN0000929,8131.98,atm,credit,Quetta,8,5,1,2024-01-20 08:30:00,0
TXN0000930,3091.93,atm,transfer,Multan,14,0,0,2024-01-20 09:00:00,0
TXN0000931,785.49,healthcare,credit,Quetta,15,3,0,2024-01-20 09:30:00,0
TXN0000932,517065.05,restaurant,transfer,Islamabad,23,2,1,2024-01-20 10:00:00,1
TXN0000933,1102.65,restaurant,transfer,Peshawar,14,4,1,2024-01-20 10:30:00,0
TXN0000934,23594.4,atm,credit,Islamabad,16,2,1,2024-01-20 11:00:00,0
TXN0000935,5157.46,online,transfer,Peshawar,20,3,1,2024-01-20 11:30:00,0
TXN0000936,3053.12,grocery,credit,Islamabad,11,4,1,2024-01-20 12:00:00,0
TXN0000937,11629.88,online,withdrawal,Peshawar,21,3,1,2024-01-20 12:30:00,0
TXN0000938,5512.42,grocery,transfer,Karachi,14,4,1,2024-01-20 13:00:00,0
